artist,uri,followers,genres,popularity,billboard
Donny Hathaway,spotify:artist:0HU0U9kdXEHZVxUNbuQe8S,325919,"['chicago soul', 'classic soul', 'funk', 'motown', 'neo soul', 'quiet storm', 'soul', 'southern soul', 'vocal jazz']",62,0
Guy Mitchell,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,16267,"['adult standards', 'brill building pop', 'deep adult standards', 'lounge', 'rock-and-roll']",43,1
U.S. Bonds,spotify:artist:1Qw8MHpjYxm9Xf0O1ZfPiX,8217,['rhythm and blues'],35,1
The Spinners,spotify:artist:5fbhwqYYh4YwUoEs582mq5,446116,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",64,1
Sagittarius,spotify:artist:2G0qagNyJSe7wZLJCKdfFA,2471,['sunshine pop'],23,1
Os Originais Do Samba,spotify:artist:4gKqxjR0MkEKjqvO3Ctvpg,116048,"['bossa nova', 'forro', 'mpb', 'pagode', 'samba', 'samba-enredo', 'samba-rock', 'velha guarda']",46,0
Boots Randolph,spotify:artist:3c8BXo73tAg7XZiNHJugZm,4103,['nashville sound'],32,1
Ben Colder,spotify:artist:3BuGAHN3dgrxC9vAvdRRoQ,228,[],4,1
Crispian St. Peters,spotify:artist:3Y9xnCbmXGhmpJymwpnxCz,8335,"['british invasion', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",34,1
Fred Hughes,spotify:artist:521jQ1UQ3RkcuJCkr10nbC,2,[],0,1
Zé Keti,spotify:artist:2bmDvPwz8Fu9LQ8aMTFvMr,21247,"['bossa nova', 'choro', 'forro', 'samba', 'velha guarda']",36,0
Willie Tee,spotify:artist:0J4hhNPKGkF96BvCakh2Ab,1010,"['beach music', 'swamp pop']",27,1
Eric Dolphy,spotify:artist:6rxxu32JCGDpKKMPHxnSJp,53433,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'jazz', 'jazz fusion', 'soul jazz']",35,0
William Bell,spotify:artist:0mFoqJiNDtYntypvy6roGR,37857,"['classic soul', 'funk', 'memphis soul', 'motown', 'soul', 'southern soul']",45,1
"Peter, Paul and Mary",spotify:artist:6yrBBtqX2gKCHCrZOYBDrB,355674,"['american folk revival', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'traditional folk']",60,0
Milton Nascimento,spotify:artist:3Bnq7jiU506HcPjRgQ43TM,404142,"['bossa nova', 'forro', 'mpb', 'samba']",63,0
The Hondells,spotify:artist:0iiY1woiw7gL0gbd1Isc17,1866,[],16,1
The Red Krayola,spotify:artist:5S3gRXHi1WrUadDR9IUwTN,4457,"['experimental', 'experimental rock', 'no wave', 'outsider', 'post-punk']",20,0
Leon Haywood,spotify:artist:4r2UnA39uIXexqO1mABayb,5262,"['classic soul', 'funk', 'post-disco']",39,1
Berlin Radio Symphony Orchestra,spotify:artist:0a9SIKSCIhxjx4QJlSZfYa,3199,"['orchestra', 'radio symphony']",45,0
James Carr,spotify:artist:59fzcTUsoozikLmRY1SwHS,27602,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']",43,1
The Dovells,spotify:artist:6LaraO4gcDKWw0fwIOTodm,6275,"['brill building pop', 'doo-wop', 'rhythm and blues']",29,1
Ral Donner,spotify:artist:0j4ZVeMLH38uXEup39Hjvb,1484,['rhythm and blues'],18,1
The Velvelettes,spotify:artist:72Q7helEnjOptf8FAoZQTi,82453,"['brill building pop', 'classic girl group', 'motown', 'soul']",44,1
The Fleetwoods,spotify:artist:673J686eeEXMYJorgQ70lX,33551,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'vocal harmony group']",50,1
Jimmy McCracklin,spotify:artist:58CohJpaPmE4H0fXEAnt4i,3456,"['jump blues', 'piano blues', 'rhythm and blues', 'soul blues', 'southern soul']",21,1
The Swans,spotify:artist:63yEaRONzlJVu1ozymo4Fk,7293,"['c86', 'deep new wave', 'new wave']",28,1
Blind Willie McTell,spotify:artist:4vRyd1UZ8Eq98EppbwOBg6,33120,"['acoustic blues', 'appalachian folk', 'blues', 'country blues', 'delta blues', 'piedmont blues', 'traditional blues', 'traditional folk']",38,0
The Elgins,spotify:artist:0CMVsLgjlp9Tk02TikMAQK,38010,"['classic soul', 'motown', 'soul']",45,1
Jimmy Cliff,spotify:artist:3rJ3m1tM6vUgiWLjfV8sRf,499010,"['dub', 'reggae', 'roots reggae', 'ska']",64,1
Joanie Sommers,spotify:artist:64ZUngtVBOg6z3kKagoZhU,1829,['brill building pop'],26,1
Ivo Robic,spotify:artist:6ouLM9uXt774BmPfmTzgX8,2289,['croatian pop'],26,1
Jimmy Charles,spotify:artist:2aWMpUpxRV3pGXVdr6Srp9,172,[],14,1
Claude Bolling,spotify:artist:17YFYixTwkosluOZZJWhjb,9084,['french jazz'],38,0
Johannes Brahms,spotify:artist:5wTAi7QkpP6kp8a54lmTOq,555203,"['classical', 'late romantic era']",66,0
Ferrante & Teicher,spotify:artist:17rSwcIT9qu1OybU1lReJB,12907,"['adult standards', 'easy listening', 'exotica', 'lounge']",38,1
Perrey and Kingsley,spotify:artist:3daZ54uJ2NvlclfdEkfa4R,3786,"['exotica', 'lounge', 'moog', 'vintage french electronic', 'zolo']",24,0
The Fireballs,spotify:artist:3gv1hh37jyGKfyAjFvv7No,9047,"['swing', 'swing revival']",34,1
Tony Williams,spotify:artist:1TW90GjShgkjySrxBxcwQe,24685,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'free jazz', 'jazz', 'jazz drums', 'jazz funk', 'jazz fusion']",42,0
Steve Allen,spotify:artist:5oM9MmVWGFrIcVyojUVwcJ,3493,"['progressive trance', 'uplifting trance']",37,1
Matt Monro,spotify:artist:06kr5yNAM2rOf4DXemM8fl,157928,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",56,1
The Bachelors,spotify:artist:0qDtyCZRYrja9CoeHXV6FD,21476,"['brill building pop', 'british invasion', 'merseybeat', 'rock-and-roll']",34,1
Jimmy Durante,spotify:artist:5FNHfTn3yzVpqdUyWwej0v,62072,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",50,1
Kitty Kallen,spotify:artist:0e6M2o3phnpbgFmrhry2qx,618,[],34,1
Smokey Robinson & The Miracles,spotify:artist:6TKOZZDd5uV5KnyC5G4MUt,681687,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",61,1
Barbara George,spotify:artist:6uJZLuhxKK0kNUcoGNIy9k,586,[],16,1
Judy Collins,spotify:artist:5yzE49FicYiSxN61oaxkNn,127859,"['american folk revival', 'folk', 'folk rock', 'lilith', 'mellow gold', 'singer-songwriter', 'traditional folk']",53,1
Paulinho Da Viola,spotify:artist:0t2xdTxRXnffsmpMamH8Ls,190126,"['bossa nova', 'forro', 'mpb', 'pagode', 'samba', 'velha guarda', 'violao']",55,0
Mitch Ryder,spotify:artist:7tdO7d7r0vhwov7RIZWH6V,5885,[],35,1
The Echoes,spotify:artist:6EMR9xUcwYHrvpiSZKtN2c,23242,"['jazz funk', 'soul jazz']",43,1
The Iveys,spotify:artist:46jw0v7jeJN686D331Q8VC,288,[],16,1
The Foundations,spotify:artist:4GITZM5LCR2KcdlgEOrNLD,48294,"['brill building pop', 'bubblegum pop', 'motown']",62,1
Willy Alberti,spotify:artist:4V3RSGZYyjAoaDrZqPmzUM,6277,"['levenslied', 'nederpop', 'vintage dutch pop']",38,1
The Ronettes,spotify:artist:7CyeXFnOrfC1N6z4naIpgo,135554,"['adult standards', 'brill building pop', 'classic girl group', 'motown', 'soul']",61,1
The Busters,spotify:artist:2wCh75gIAQ5Ed9UGiqLBMB,8702,"['euroska', 'german ska', 'ska', 'ska revival']",32,1
Bobby Taylor & The Vancouvers,spotify:artist:2yu275LOWOLmpD885w1MMy,408,[],21,1
MGM Studio Orchestra,spotify:artist:2EjrRJZBrUhYqcgmYF69N1,8510,['classic soundtrack'],42,0
Patty & The Emblems,spotify:artist:3YNciz35JttEP3tpD392Up,495,['philly soul'],32,1
Jimmie Rodgers,spotify:artist:0Y0ZlznP6vzTS1qAm5dvTN,37065,"['appalachian folk', 'bluegrass', 'folk', 'old-time', 'traditional country', 'traditional folk', 'yodeling']",38,1
Troy Keyes,spotify:artist:4amyFeBFFIbbe6yq3ODoYC,41,['deep northern soul'],4,1
The Orlons,spotify:artist:7JSIM5U7TZym5M3Q1AFG80,11179,"['brill building pop', 'bubblegum pop', 'classic girl group', 'doo-wop', 'motown', 'rhythm and blues']",31,1
The Vejtables,spotify:artist:3BJzJBd10CEwmXWPJo0wBv,187,[],6,1
Small Faces,spotify:artist:1YqGsKpdixxSVgpfaL2AEQ,198759,"['art rock', 'blues rock', 'british blues', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'freakbeat', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock', 'rock']",52,1
Bo Diddley,spotify:artist:2bmixwMZXlkl2sbIbOfviq,218357,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'funk', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",53,1
Skeeter Davis,spotify:artist:5b2OzvLaL6nyxw5pbVbSdy,29003,"['brill building pop', 'nashville sound']",50,1
Scott McKenzie,spotify:artist:7d7AZ3CQC457bFhK0wHpSO,27223,"['bubblegum pop', 'folk rock']",55,1
Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,1940975,"['classical', 'early romantic era', 'polish classical']",76,0
The Blendells,spotify:artist:0d4hrN0X4YJYRnGelm42cT,88,[],8,1
Oliver,spotify:artist:5nki7yRhxgM509M5ADlN1p,847136,"['big room', 'dance pop', 'edm', 'electro house', 'future house', 'house', 'progressive electro house', 'progressive house', 'tropical house']",77,1
Ray Stevens,spotify:artist:7MpUvihmfilIxyN20kXwQj,41829,"['bubblegum pop', 'comic', 'novelty']",48,1
Lou Johnson,spotify:artist:2nrn5Hfpxg0SfuVLbnHwoL,1506,"['northern soul', 'southern soul']",27,1
Trini Lopez,spotify:artist:5FlTKgucbhHvlJVf0pnvOv,19127,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll']",43,1
Vanilla Fudge,spotify:artist:0vIMq3W8V63uR4Ymgm2pF1,58394,"['acid rock', 'blues rock', 'classic rock', 'psychedelic rock']",45,1
The Trashmen,spotify:artist:5QEA3sofVt5QckQA6QX2nN,27239,"['classic garage rock', 'protopunk', 'surf music']",44,1
Pietro Mascagni,spotify:artist:3Z5fRknMBBNfCw6pkgR9S8,24664,"['classical', 'italian opera', 'post-romantic era']",53,0
The Holidays,spotify:artist:5KM7Sg8WLkft2jm2ofYAnD,5543,['australian indie'],23,1
Wanderlea,spotify:artist:2ph3uep2AopkQ4romPAik0,23903,"['brega', 'jovem guarda']",34,0
Philadelphia Orchestra,spotify:artist:6tdexW8bZTG8NgOFUCYQn1,24544,"['classical performance', 'orchestra']",62,0
The Cookies,spotify:artist:1xbffduk2SYqON9nXu6jLt,4681,"['brill building pop', 'classic girl group', 'sunshine pop']",18,1
Dizzy Gillespie,spotify:artist:5RzjqfPS0Bu4bUMkyNNDpn,292782,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet', 'latin jazz', 'soul jazz', 'stride', 'swing', 'vocal jazz']",54,0
Adam Faith,spotify:artist:284fAcjDaBYlPBLZnQkZU0,15455,"['brill building pop', 'british invasion', 'classic uk pop', 'merseybeat', 'rock-and-roll']",32,1
Freddie Scott,spotify:artist:3uuQLSmKyXSXIStTYGKLrT,5041,['southern soul'],39,1
Leapy Lee,spotify:artist:7lgv8OCexyuvGs3Xn2O7n2,545,[],23,1
Ramrods,spotify:artist:1sSFqRg1plYYDDID9UURcc,748,['classic garage rock'],19,1
Billy Abbott And The Jewels,spotify:artist:6RUNziyND3H4wQTD3lvbKb,20,[],1,1
Armando Manzanero,spotify:artist:5lODCkFdEtpPn3YxfmyLfT,313634,"['bolero', 'cancion melodica', 'cantautor', 'latin', 'latin pop', 'nueva cancion', 'ranchera', 'velha guarda']",61,0
Waylon Jennings,spotify:artist:7wCjDgV6nqBsHguQXPAaIM,721974,"['country', 'country rock', 'outlaw country', 'texas country']",71,0
Brigitte Bardot,spotify:artist:1q24xIsAD7JZuVkTLR9TJy,67128,"['chanson', 'ye ye']",54,0
The Jelly Beans,spotify:artist:4N9sOGiRHSMWT9L0eByBSp,89,['brill building pop'],11,1
Susan Christie,spotify:artist:2HrnWNplSXSbwjlRdcDQkB,1562,['psychedelic folk'],17,1
The Preludes Five,spotify:artist:29I6OmQVE8JpIhJ4PFxLwP,0,[],0,1
Lenny Welch,spotify:artist:4i9IEoaY6Q1v3Puqz3PwC1,1643,[],26,1
Merrilee Rush & The Turnabouts,spotify:artist:5TnMVQgTIbp6z3AydwnHW6,406,"['bubblegum pop', 'folk rock']",31,1
Lord Kitchener,spotify:artist:7FL6vuQ7VGJvOiZUukHAcK,7000,"['calypso', 'rock steady']",35,0
Dale & Grace,spotify:artist:4pm3g02BZ11lBvSCuomYaW,1172,['swamp pop'],27,1
The Percells,spotify:artist:5ekHxvK2WkJiuTEsoYp4JF,17,[],0,1
Billy Joe Royal,spotify:artist:4WFTfNjxQYskBioYk39r9n,16651,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'swamp pop']",37,1
Rex Allen,spotify:artist:66SqnH24eOjN0IEwWjmMyQ,4515,['cowboy western'],32,1
Eddie Fisher,spotify:artist:6bHSJldq5J4lYowHOm9OOX,19217,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']",36,1
Lou Monte,spotify:artist:7dbKeVkihtOifdiu7f3rUg,5467,['novelty'],39,1
Ray Peterson,spotify:artist:7BDI9Iqt24gl4RGdS6hWs9,15039,"['adult standards', 'brill building pop', 'rock-and-roll']",42,1
Esther Phillips,spotify:artist:0WZ7IgzdjPvwFdjDjjuZm7,27036,"['classic soul', 'jazz blues', 'rhythm and blues', 'soul']",45,1
The Honeycombs,spotify:artist:2322gLwXvyJa6PejhOWQEH,21068,"['british invasion', 'bubblegum pop', 'merseybeat', 'rock-and-roll']",35,1
The Beau Brummels,spotify:artist:4DQj1q0unpi9KF8jO1Wqks,24196,"['bubblegum pop', 'classic garage rock', 'classic rock', 'country rock', 'folk rock', 'freakbeat', 'merseybeat', 'psychedelic rock']",35,1
Shirley Ellis,spotify:artist:4GO3ufZJ7YsEnQ3PiML2Dg,5499,['northern soul'],38,1
Bill Cosby,spotify:artist:4JeqRr8Upw5uxLEu6jgIRm,20709,"['comedy', 'comic']",34,1
Clyde McPhatter,spotify:artist:4WL6MC4jDW7w7K9hfc4MVS,18496,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",40,1
Lonnie Russ,spotify:artist:2aM7izVFCeKxS9MvpOGUt1,61,[],18,1
Mort Sahl,spotify:artist:7aCt84sBAdidgaMMBE2EzL,440,['canadian comedy'],2,0
Patty Duke,spotify:artist:6VcPriC5JFrXJdtZ7OQjc4,552,['deep adult standards'],16,1
Shades Of Blue,spotify:artist:3mrPUMTaGsRrW8JA66x7oi,237,[],20,1
Jimmy Holiday,spotify:artist:6gOZp4VmgZVkbvEjIwzsTJ,276,['deep southern soul'],11,1
The Sunshine Company,spotify:artist:4Fdp70hK2NKhAcrI22XgfG,199,['sunshine pop'],8,1
The Cleftones,spotify:artist:55vDUEAKaeyEYSlzm5rRyf,16970,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']",39,1
Andy Kim,spotify:artist:5MYBNUKoFf9LAg30ByaBli,7410,"['brill building pop', 'bubblegum pop']",41,1
Bettye Swann,spotify:artist:0g3EsNvUCwgpsdkAiIC50W,24208,"['classic soul', 'motown', 'soul', 'southern soul']",46,1
The Young Rascals,spotify:artist:5X3TuTi9OIsJXMGxPwTKM2,82753,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll']",51,1
Napoleon XIV,spotify:artist:47LaejbXqR0KTC7A8khfqS,3052,"['comic', 'novelty']",31,1
The Rose Garden,spotify:artist:4OlIFruGJ8460GJustxEGj,415,[],12,1
Wink Martindale,spotify:artist:1X5ZSwlYraWjWqjkkhJjdg,342,['deep adult standards'],13,1
Grateful Dead,spotify:artist:4TMHGUX5WI7OOm53PqSDAT,954067,"['classic rock', 'cosmic american', 'country rock', 'folk rock', 'jam band', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",72,0
The Illusion,spotify:artist:4i6yU70Ng3brJNc5LsMww5,595,['pony'],31,1
Joni Mitchell,spotify:artist:5hW4L92KnC6dX9t7tYM4Ve,763463,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'traditional folk']",70,0
Duane Eddy,spotify:artist:1I5Cu7bqjkRg85idwYsD91,53722,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly', 'surf music']",48,1
Evie Sands,spotify:artist:7kSG6Dyyvf4MM8qWWrgKJq,1156,[],20,1
Ketty Lester,spotify:artist:36pJnWrcvAsoWm6fUqGaHi,2074,[],29,1
The Matadors,spotify:artist:0RAcvcobRLYs7Hwn7hSVql,916,['canadian rockabilly'],17,0
Wayne Shorter,spotify:artist:0ZqhrTXYPA9DZR527ZnFdO,125812,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz saxophone', 'soul jazz', 'vocal jazz']",52,0
Joel Oppenheimer,spotify:artist:1TH8yLRpZtlwWksnFSbZoS,6,['experimental poetry'],0,0
Jimmy Smith,spotify:artist:5GXruybcLmXPjR9rKKFyS6,57718,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz organ', 'soul jazz']",49,1
The Flirtations,spotify:artist:3Hra0KQr00Pe9oqmQdVtvp,4367,"['motown', 'northern soul', 'rhythm and blues']",37,1
The Delacardos,spotify:artist:5PHQJHRhBfg7fJhzv2de7r,27,[],6,1
Kim Weston,spotify:artist:71pUA2TXf3JHUPUgsjLtuL,17326,"['motown', 'northern soul']",49,1
Philip Larkin,spotify:artist:5CJkDxxdPtWmMCEENkFxyP,874,['poetry'],10,0
Cliff Richard,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,175228,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'mellow gold', 'rock-and-roll', 'rockabilly', 'soft rock']",60,1
The Castells,spotify:artist:6DkVBNgQMSVLTQa7OUhMno,288,[],18,1
Ralph Vaughan Williams,spotify:artist:7wNkISK49lKeXuRaZcQVFe,60384,"['classical', 'post-romantic era']",57,0
Jimmy Castor,spotify:artist:7E5taE9LniGvMzEHpiOupV,16637,"['funk', 'rare groove']",35,1
Gabriel Fauré,spotify:artist:2gClsBep1tt1rv1CN210SO,129686,"['classical', 'post-romantic era']",62,0
Little Junior Parker,spotify:artist:5AZroUSVLr1sdkgCAfv1kM,923,[],20,1
The Mills Brothers,spotify:artist:5v8bwWRbu7AI3YFhzoM6Ha,49089,"['adult standards', 'big band', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']",49,1
Donnie Brooks,spotify:artist:0OIKoNmvKEdHkhhNfrRGP6,578,[],12,1
The Cowsills,spotify:artist:4ZSzroBNV7HzBDO9aohuF1,49005,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'underground power pop']",42,1
Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,1416578,"['baroque', 'classical', 'early music', 'italian baroque']",74,0
The Dixie Cups,spotify:artist:7ICvZfP4VHAPZ5Wdt03772,33072,"['brill building pop', 'classic girl group']",50,1
Randy Newman,spotify:artist:3HQyFCFFfJO3KKBlUfZsyW,136689,"['disney', 'movie tunes', 'singer-songwriter']",67,0
The Dynamites,spotify:artist:0ruSPUfDomJIG7UoC1rs2M,782,['igbo worship'],22,0
Joey Powers,spotify:artist:34zudYAaTtp0ulMMSpdcrc,35,['deep adult standards'],6,1
Tom Northcott,spotify:artist:6hB3m5Xp515ELY7MudOg7D,111,"['classic psychedelic rock', 'sunshine pop']",8,1
Kenny Rogers & The First Edition,spotify:artist:0WjkBDqno4HbjwNDqyMgVa,8503,['psychedelic rock'],45,1
Nana Caymmi,spotify:artist:1hQT9TlJXMBP6Dy4lExSKn,144711,"['bossa nova', 'forro', 'mpb', 'samba', 'velha guarda']",50,0
The Waikikis,spotify:artist:21kA8P88Ho5EWaXjc0bBwu,4,[],0,1
Gary Puckett & The Union Gap,spotify:artist:4asCC4oxQcDzFXhCth2SgQ,125209,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",50,0
Ted Hughes,spotify:artist:5lW4cla41xNY1Nr3mFT7hg,796,['poetry'],9,0
Bobby Bare,spotify:artist:69wzuykaVXlRS5KVygESvd,90724,"['classic country pop', 'country', 'country rock', 'outlaw country']",54,1
Georgie Fame,spotify:artist:5rWKAmlxinr3muqedXVIHa,9410,"['british blues', 'british invasion', 'jazz organ', 'merseybeat']",38,1
Brooklyn Bridge,spotify:artist:56ddI2AjByeSuOtUyWeGUc,1302,[],24,1
Anna King,spotify:artist:3ALGzReay2c2K6f8xQ4l00,0,[],0,1
The Incredible String Band,spotify:artist:0tQzBYPjAardhWpGkqVdNW,32138,"['british folk', 'canterbury scene', 'experimental', 'folk', 'folk rock', 'psychedelic folk', 'psychedelic rock', 'traditional folk']",36,0
Al Kooper,spotify:artist:49JvZ17o0VaAmXaJv5kZlv,31533,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'psychedelic rock', 'roots rock']",47,0
Léo Delibes,spotify:artist:1M9AXZkNPdOd1IPEsQsXnT,27917,"['classical', 'french opera', 'late romantic era']",51,0
Luis Eduardo Aute,spotify:artist:67h1eGw2OFs89l8EnaOdoS,184140,"['cantautor', 'nueva cancion', 'spanish pop', 'trova']",61,0
The Moments,spotify:artist:6avGAzQTmqu8mfSmZrN7gT,82963,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",40,1
Nancy Ames,spotify:artist:2cJ3V3p94vWT3fNXGAOBXe,230,[],12,1
Gil Evans,spotify:artist:7g9DeYASD3RzlT4kDchsQZ,14853,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'soul jazz']",35,0
Louis Armstrong,spotify:artist:19eLuQmk9aCobbVDHc6eek,1980825,"['adult standards', 'dixieland', 'jazz trumpet', 'new orleans jazz', 'soul', 'swing', 'vocal jazz']",73,1
Janie Grant,spotify:artist:2TR2qR8NS657uMn5L89DFR,96,[],8,1
Dion & The Belmonts,spotify:artist:2loYllWFfoWpoxC5YrJKc4,120997,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",54,1
The Soul Sisters,spotify:artist:4vHGlaYbIEkXVVnWZodTXl,459,[],14,1
Syl Johnson,spotify:artist:1lE6SEy8f84Zhjvp7r8yTD,184384,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",59,1
Kyu Sakamoto,spotify:artist:3WKkjW8B7x5UZmfC9pnDmN,11674,['enka'],44,1
The Reflections,spotify:artist:2J9wqzuc2V8HGrGAx6IMdo,213,[],7,1
The Deadly Ones,spotify:artist:7u8IIj8Mxli8WUq5q8Chb2,412,['instrumental surf'],9,0
Terry Stafford,spotify:artist:4kmoIUly5v8RsaKDhevAjT,3631,['oklahoma country'],32,1
The Tremeloes,spotify:artist:2VL8sLEJ6lHEwocjc1pN9w,78270,"['adult standards', 'beatlesque', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'nederpop', 'rock-and-roll']",49,1
Billy Edd Wheeler,spotify:artist:5646lgm2HV2yioE8VhbzG7,150,[],3,1
Hank Williams,spotify:artist:2dyeCWctcFRt3Pha76ONgb,772417,"['country', 'country road', 'country rock', 'outlaw country']",70,0
The Serendipity Singers,spotify:artist:60mbIWU4hFqNwuTFE1jPku,2728,['american folk revival'],13,1
John Mayall,spotify:artist:2ScuQMRWThcifBRIvNDFDC,235029,"['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'modern blues', 'psychedelic rock', 'roots rock']",51,1
Frank Ifield,spotify:artist:4IYYmybW7zLRFIPnOjBUUO,13944,"['adult standards', 'brill building pop', 'classic australian country', 'deep adult standards', 'merseybeat', 'rock-and-roll', 'yodeling']",37,1
Norma Tanega,spotify:artist:4nlQA3jNE8cukTo6CdyCWP,13463,['psychedelic folk rock'],43,1
Steppenwolf,spotify:artist:1WRM9i067hd2ujxxi8FI3m,854869,"['acid rock', 'album rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']",66,1
Lester Flatt,spotify:artist:4UEb5ZsSyDWMAiBuOeKA6W,14087,"['appalachian folk', 'bluegrass', 'bluegrass gospel', 'instrumental bluegrass', 'old-time', 'progressive bluegrass', 'traditional country', 'traditional folk']",41,0
B.J. Thomas,spotify:artist:0uUNzXylqsZdmFDwdxaP1V,107686,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",53,1
Them,spotify:artist:4zYQWYmtimAEmI6WWEzGfO,356148,"['alternative metal', 'alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern rock', 'post-grunge', 'punk blues', 'rock', 'stoner rock', 'supergroup']",55,1
The First Edition,spotify:artist:5XDSGEZV9xG35PRLJ0O3hx,4283,[],44,1
Ray Smith,spotify:artist:4SGITJm1kRaIEoqEwv360I,4450,"['canadian rockabilly', 'rock-and-roll', 'rockabilly']",38,1
Los Panchos,spotify:artist:3Ker27Wbb9OcUHGs54JIAz,311947,"['bolero', 'ranchera']",65,0
Mitchell Torok,spotify:artist:6IXaAxq9mkktxZnqlWYbxf,107,[],15,1
Luis Bacalov,spotify:artist:4iy3JrFlBLHPvXqN1OcQS1,15340,"['classic soundtrack', 'italian soundtrack']",51,0
Alvin Cash & The Crawlers,spotify:artist:3bKRu4SjS8I0y7yWhvFfWw,66,[],3,1
Jack Eubanks,spotify:artist:2HL1qwVVGW2L8oVIH9CysO,11,[],1,1
Brian Wilson,spotify:artist:4Q82S0VzF8qlCb4PnSDurj,91965,"['baroque pop', 'brill building pop', 'sunshine pop']",51,1
Jack Greene,spotify:artist:5idHaEmJbiGTZ2MBmhmGMV,19778,"['jam band', 'roots rock']",41,1
Peggy Scott & Jo Jo Benson,spotify:artist:5zGMN35Ci0IgDfEsPqBRPe,98,[],4,1
Candy & The Kisses,spotify:artist:161nobp85d4YNxDv0QnmJW,158,['philly soul'],6,1
Debbie Taylor,spotify:artist:3AOPsb5oGscweRef0jCI1p,288,['traditional soul'],25,1
Ronnie Carroll,spotify:artist:22WsdE2gbH75bDBfc3BpnB,172,['classic eurovision'],11,1
Antonio Aguilar,spotify:artist:0PN0fbe41KbuzlRYnoajNm,1030923,"['banda', 'grupera', 'mariachi', 'norteno', 'ranchera', 'regional mexican']",71,0
Alexander 'Skip' Spence,spotify:artist:25e8CxfStX7gVfGIQL2qMd,7403,"['cosmic american', 'experimental', 'experimental rock', 'folk rock', 'outsider', 'psychedelic rock']",31,0
